include,system,tin,entity_type,entity,npis_cigna,npis_aetna,note,business_names_in_payer_files
N,NYP,911780109,,RUSH PRESBYTERIAN ST LUKES MEDICAL CENTE,1,0,a different Presbyterian,RUSH PRESBYTERIAN ST LUKES MEDICAL CENTE
N,NYP,912022077,,RUSH PRESBYTERIAN ST LUKES MEDICAL CENTE,1,0,a different Presbyterian,RUSH PRESBYTERIAN ST LUKES MEDICAL CENTE
N,NYP,911780049,,RUSH PRESBYTERIAN ST LUKES MEDICAL,1,0,a different Presbyterian,RUSH PRESBYTERIAN ST LUKES MEDICAL
N,NYP,522133513,,PRESBYTERIAN SENIOR LIVING SERVICES INC,1,0,a different Presbyterian,PRESBYTERIAN SENIOR LIVING SERVICES INC
N,NYP,521654803,,WESTMINSTER PRESBYTERIAN RETIREMENT COMM,1,0,a different Presbyterian,WESTMINSTER PRESBYTERIAN RETIREMENT COMM
N,NYP,951945832,,VALLEY PRESBYTERIAN HOSPITAL,1,0,a different Presbyterian,VALLEY PRESBYTERIAN HOSPITAL
N,NYP,752771437,,TEXAS HEALTH PRESBYTERIAN HOSPITAL,1,0,a different Presbyterian,TEXAS HEALTH PRESBYTERIAN HOSPITAL
N,NYP,432008974,,TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON,1,0,a different Presbyterian,TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON
N,NYP,250979369,,PRESBYTERIAN HOMES IN THE PRESBYTERY OF,1,0,a different Presbyterian,PRESBYTERIAN HOMES IN THE PRESBYTERY OF
N,NYP,237154996,,NEWTON PRESBYTERIAN MANOR,0,2,a different Presbyterian,NEWTON PRESBYTERIAN MANOR; PARSONS PRESBYTERIAN MANOR
N,WMC,133884168,,WESTCHESTER MEDICAL GROUP,530,1,"Westchester Medical Group = WESTMED/Summit Health, not WMC","WESTCHESTER MEDICAL GROUP; WESTCHESTER MEDICAL GROUP PC; WESTCHESTER MEDICAL GROUP PC - INTERNAL MEDICINE; WESTCHESTER MEDICAL GROUP PC - LAB; WESTCHESTER MEDICAL GROUP PC - OB/GYN; WESTCHESTER MEDICAL GROUP PC - RADIOLOGY; WESTCHESTER MEDICAL GROUP, PC"
N,WMC,261244585,,WMC TYRONE LLC,6,0,WMC Tyrone (PA),WMC TYRONE LLC
N,WMC,812417340,,WMC HEALTH GROUP OF KISSIMMEE,2,0,WMC Health Group of Kissimmee (FL),WMC HEALTH GROUP OF KISSIMMEE
N,WMC,952019672,,WESTCHESTER MEDICAL GROUP,1,0,Westchester Medical Group (CA),WESTCHESTER MEDICAL GROUP
N,Northwell,550675666,,CABELL HUNTINGTON HOSPITAL,127,0,Cabell Huntington Hospital (WV),CABELL HUNTINGTON HOSPITAL
N,Northwell,470481628,,PHELPS MEMORIAL HLTH CTR,114,0,"Phelps Memorial Health Center, Holdrege NE (NPPES: all NPIs in Nebraska) -- not Northwell's Phelps Hospital",PHELPS MEMORIAL HLTH CTR
N,Northwell,932096172,,NORTHWELL HEALTH MEDICAL NJ PC,2,0,Northwell Health Medical NJ (out of state),NORTHWELL HEALTH MEDICAL NJ PC
N,Northwell,873549482,,TRUE NORTHWELLNESS PLLC,1,0,True Northwellness,TRUE NORTHWELLNESS PLLC
